44: Max Upload: 3.39 Mbps, Max Download: 23.64 Mbps, Latency: 9.27 ms, Packet Loss: 0.0003%
45: Max Upload: 18.57 Mbps, Max Download: 70.25 Mbps, Latency: 10.22 ms, Packet Loss: 0.0002%
46: Max Upload: 5.01 Mbps, Max Download: 73.45 Mbps, Latency: 17.97 ms, Packet Loss: 0.0002%
47: Max Upload: 0.86 Mbps, Max Download: 17.33 Mbps, Latency: 20.81 ms, Packet Loss: 0.0060%
48: Max Upload: 18.45 Mbps, Max Download: 64.24 Mbps, Latency: 5.58 ms, Packet Loss: 0.0008%
49: Max Upload: 18.58 Mbps, Max Download: 74.30 Mbps, Latency: 25.18 ms, Packet Loss: 0.0002%
50: Max Upload: 9.23 Mbps, Max Download: 37.09 Mbps, Latency: 7.19 ms, Packet Loss: 0.0009%
10: Max Upload: 1.03 Mbps, Max Download: 12.87 Mbps, Latency: 25.26 ms, Packet Loss: 0.0008%
11: Max Upload: 1.03 Mbps, Max Download: 8.61 Mbps, Latency: 11.68 ms, Packet Loss: 0.0013%
12: Max Upload: 1.09 Mbps, Max Download: 16.99 Mbps, Latency: 5.65 ms, Packet Loss: 0.0002%
13: Max Upload: 5.01 Mbps, Max Download: 76.81 Mbps, Latency: 19.46 ms, Packet Loss: 0.0001%
14: Max Upload: 11.71 Mbps, Max Download: 46.10 Mbps, Latency: 10.76 ms, Packet Loss: 0.0013%
15: Max Upload: 9.30 Mbps, Max Download: 46.13 Mbps, Latency: 16.15 ms, Packet Loss: 0.0002%
16: Max Upload: 7.60 Mbps, Max Download: 31.02 Mbps, Latency: 17.92 ms, Packet Loss: 0.0016%
17: Max Upload: 9.99 Mbps, Max Download: 109.69 Mbps, Latency: 19.77 ms, Packet Loss: 0.0043%
18: Max Upload: 1.10 Mbps, Max Download: 19.11 Mbps, Latency: 20.03 ms, Packet Loss: 0.0003%
19: Max Upload: 18.71 Mbps, Max Download: 54.20 Mbps, Latency: 21.93 ms, Packet Loss: 0.0002%
